HTML標籤,聊天室實測,角色介面實測,xss白名單,DOMPurify允許,DOMPurify禁止子內容,xss允許屬性
a,✗ 無效,✓ 有效,✓,✓,,"target, href, title"
abbr,✓ 有效,✗ 無效,✓,✓,,title
acronym,✓ 有效,✗ 無效,,✓,,
address,✓ 有效,✗ 無效,✓,✓,,
annotation-xml,✗ 無效,✗ 無效,,,✓,
area,✗ 無效,✗ 無效,✓,✓,,
article,✓ 有效,✗ 無效,✓,✓,,（無屬性）
aside,✓ 有效,✗ 無效,✓,✓,,（無屬性）
audio,✗ 無效,✗ 無效,✓,✓,✓,"autoplay, controls, crossorigin, loop, muted, preload, src"
b,✓ 有效,✓ 有效,✓,✓,,（無屬性）
bdi,✓ 有效,✗ 無效,✓,✓,,
bdo,✓ 有效,✗ 無效,✓,✓,,
big,✓ 有效,✗ 無效,✓,✓,,（無屬性）
blink,✓ 有效,✗ 無效,,✓,,
blockquote,✓ 有效,✗ 無效,✓,✓,,cite
body,✗ 無效,✗ 無效,,✓,,
br,✓ 有效,✓ 有效,✓,✓,,
button,✗ 無效,✗ 無效,,✓,,
canvas,✗ 無效,✗ 無效,,✓,,
caption,✓ 有效,✗ 無效,✓,✓,,
center,✓ 有效,✗ 無效,✓,✓,,（無屬性）
cite,✓ 有效,✗ 無效,✓,✓,,
code,✓ 有效,✗ 無效,✓,✓,,（無屬性）
col,✗ 無效,✗ 無效,✓,✓,,
colgroup,✗ 無效,✗ 無效,✓,✓,✓,
content,✗ 無效,✗ 無效,,✓,,
data,✓ 有效,✗ 無效,,✓,,
datalist,✗ 無效,✗ 無效,,✓,,
dd,✓ 有效,✗ 無效,✓,✓,,（無屬性）
decorator,✗ 無效,✗ 無效,,✓,,
del,✓ 有效,✗ 無效,✓,✓,,datetime
desc,✗ 無效,✗ 無效,,,✓,
details,✓ 有效,✗ 無效,✓,✓,,open
dfn,✓ 有效,✗ 無效,,✓,,
dialog,✓ 有效,✗ 無效,,✓,,
dir,✓ 有效,✗ 無效,,✓,,
div,✓ 有效,✓ 有效,✓,✓,,（無屬性）
dl,✓ 有效,✗ 無效,✓,✓,,（無屬性）
dt,✓ 有效,✗ 無效,✓,✓,,（無屬性）
element,✗ 無效,✗ 無效,,✓,,
