class名稱,分類,聊天室,角色介面,使用範例,樣式
animate__lightSpeedInLeft,光速 LightSpeed,✓,✓,"class=""animate__lightSpeedInLeft""",-webkit-animation-name:lightSpeedInLeft; animation-name:lightSpeedInLeft; -webki
animate__lightSpeedInRight,光速 LightSpeed,✓,✓,"class=""animate__lightSpeedInRight""",-webkit-animation-name:lightSpeedInRight; animation-name:lightSpeedInRight; -web
animate__lightSpeedOutLeft,光速 LightSpeed,✓,✓,"class=""animate__lightSpeedOutLeft""",-webkit-animation-name:lightSpeedOutLeft; animation-name:lightSpeedOutLeft; -web
animate__lightSpeedOutRight,光速 LightSpeed,✓,✓,"class=""animate__lightSpeedOutRight""",-webkit-animation-name:lightSpeedOutRight; animation-name:lightSpeedOutRight; -w
animate__backInDown,其他,✓,✓,"class=""animate__backInDown""",-webkit-animation-name:backInDown; animation-name:backInDown
animate__backInLeft,其他,✓,✓,"class=""animate__backInLeft""",-webkit-animation-name:backInLeft; animation-name:backInLeft
animate__backInRight,其他,✓,✓,"class=""animate__backInRight""",-webkit-animation-name:backInRight; animation-name:backInRight
animate__backInUp,其他,✓,✓,"class=""animate__backInUp""",-webkit-animation-name:backInUp; animation-name:backInUp
animate__backOutDown,其他,✓,✓,"class=""animate__backOutDown""",-webkit-animation-name:backOutDown; animation-name:backOutDown
animate__backOutLeft,其他,✓,✓,"class=""animate__backOutLeft""",-webkit-animation-name:backOutLeft; animation-name:backOutLeft
animate__backOutRight,其他,✓,✓,"class=""animate__backOutRight""",-webkit-animation-name:backOutRight; animation-name:backOutRight
animate__backOutUp,其他,✓,✓,"class=""animate__backOutUp""",-webkit-animation-name:backOutUp; animation-name:backOutUp
animate__flash,其他,✓,✓,"class=""animate__flash""",-webkit-animation-name:flash; animation-name:flash
animate__animated,基礎套用 class,✓,✓,"class=""animate__animated""",-webkit-animation-duration:1s; animation-duration:1s; -webkit-animation-duration
animate__bounce,彈跳 Bounce,✓,✓,"class=""animate__bounce""",-webkit-animation-name:bounce; animation-name:bounce; -webkit-transform-origin:c
animate__bounceIn,彈跳 Bounce,✓,✓,"class=""animate__bounceIn""",-webkit-animation-duration:calc(1s * .75); animation-duration:calc(1s * .75); -w
animate__bounceInDown,彈跳 Bounce,✓,✓,"class=""animate__bounceInDown""",-webkit-animation-name:bounceInDown; animation-name:bounceInDown
animate__bounceInLeft,彈跳 Bounce,✓,✓,"class=""animate__bounceInLeft""",-webkit-animation-name:bounceInLeft; animation-name:bounceInLeft
animate__bounceInRight,彈跳 Bounce,✓,✓,"class=""animate__bounceInRight""",-webkit-animation-name:bounceInRight; animation-name:bounceInRight
animate__bounceInUp,彈跳 Bounce,✓,✓,"class=""animate__bounceInUp""",-webkit-animation-name:bounceInUp; animation-name:bounceInUp
animate__bounceOut,彈跳 Bounce,✓,✓,"class=""animate__bounceOut""",-webkit-animation-duration:calc(1s * .75); animation-duration:calc(1s * .75); -w
animate__bounceOutDown,彈跳 Bounce,✓,✓,"class=""animate__bounceOutDown""",-webkit-animation-name:bounceOutDown; animation-name:bounceOutDown
animate__bounceOutLeft,彈跳 Bounce,✓,✓,"class=""animate__bounceOutLeft""",-webkit-animation-name:bounceOutLeft; animation-name:bounceOutLeft
animate__bounceOutRight,彈跳 Bounce,✓,✓,"class=""animate__bounceOutRight""",-webkit-animation-name:bounceOutRight; animation-name:bounceOutRight
animate__bounceOutUp,彈跳 Bounce,✓,✓,"class=""animate__bounceOutUp""",-webkit-animation-name:bounceOutUp; animation-name:bounceOutUp
animate__delay-1s,控制（速度/次數）,✓,✓,"class=""animate__delay-1s""",-webkit-animation-delay:1s; animation-delay:1s; -webkit-animation-delay:var(--an
animate__delay-2s,控制（速度/次數）,✓,✓,"class=""animate__delay-2s""",-webkit-animation-delay:calc(1s * 2); animation-delay:calc(1s * 2); -webkit-anim
animate__delay-3s,控制（速度/次數）,✓,✓,"class=""animate__delay-3s""",-webkit-animation-delay:calc(1s * 3); animation-delay:calc(1s * 3); -webkit-anim
animate__delay-4s,控制（速度/次數）,✓,✓,"class=""animate__delay-4s""",-webkit-animation-delay:calc(1s * 4); animation-delay:calc(1s * 4); -webkit-anim
animate__delay-5s,控制（速度/次數）,✓,✓,"class=""animate__delay-5s""",-webkit-animation-delay:calc(1s * 5); animation-delay:calc(1s * 5); -webkit-anim
animate__fast,控制（速度/次數）,✓,✓,"class=""animate__fast""",-webkit-animation-duration:calc(1s * .8); animation-duration:calc(1s * .8); -web
animate__faster,控制（速度/次數）,✓,✓,"class=""animate__faster""",-webkit-animation-duration:calc(1s / 2); animation-duration:calc(1s / 2); -webki
animate__infinite,控制（速度/次數）,✓,✓,"class=""animate__infinite""",-webkit-animation-iteration-count:infinite; animation-iteration-count:infinite
animate__repeat-1,控制（速度/次數）,✓,✓,"class=""animate__repeat-1""",-webkit-animation-iteration-count:1; animation-iteration-count:1; -webkit-animat
animate__repeat-2,控制（速度/次數）,✓,✓,"class=""animate__repeat-2""",-webkit-animation-iteration-count:calc(1 * 2); animation-iteration-count:calc(1 
animate__repeat-3,控制（速度/次數）,✓,✓,"class=""animate__repeat-3""",-webkit-animation-iteration-count:calc(1 * 3); animation-iteration-count:calc(1 
animate__slow,控制（速度/次數）,✓,✓,"class=""animate__slow""",-webkit-animation-duration:calc(1s * 2); animation-duration:calc(1s * 2); -webki
animate__slower,控制（速度/次數）,✓,✓,"class=""animate__slower""",-webkit-animation-duration:calc(1s * 3); animation-duration:calc(1s * 3); -webki
animate__rotateIn,旋轉 Rotate,✓,✓,"class=""animate__rotateIn""",-webkit-animation-name:rotateIn; animation-name:rotateIn; -webkit-transform-orig
animate__rotateInDownLeft,旋轉 Rotate,✓,✓,"class=""animate__rotateInDownLeft""",-webkit-animation-name:rotateInDownLeft; animation-name:rotateInDownLeft; -webki
animate__rotateInDownRight,旋轉 Rotate,✓,✓,"class=""animate__rotateInDownRight""",-webkit-animation-name:rotateInDownRight; animation-name:rotateInDownRight; -web
animate__rotateInUpLeft,旋轉 Rotate,✓,✓,"class=""animate__rotateInUpLeft""",-webkit-animation-name:rotateInUpLeft; animation-name:rotateInUpLeft; -webkit-tr
animate__rotateInUpRight,旋轉 Rotate,✓,✓,"class=""animate__rotateInUpRight""",-webkit-animation-name:rotateInUpRight; animation-name:rotateInUpRight; -webkit-
