class名稱,分類,聊天室,角色介面,樣式
appearance-none,互動/可見性,✓,✓,appearance:none
break-words,互動/可見性,✓,✓,overflow-wrap:break-word
collapse,互動/可見性,✓,✓,visibility:collapse
cursor-default,互動/可見性,✓,✓,cursor:default
cursor-grab,互動/可見性,✓,✓,cursor:grab
cursor-help,互動/可見性,✓,✓,cursor:help
cursor-not-allowed,互動/可見性,✓,✓,cursor:not-allowed
cursor-pointer,互動/可見性,✓,✓,cursor:pointer
overflow-auto,互動/可見性,✓,✓,overflow:auto
overflow-clip,互動/可見性,✓,✓,overflow:clip
overflow-visible,互動/可見性,✓,✓,overflow:visible
overflow-x-auto,互動/可見性,✓,✓,overflow-x:auto
overflow-y-auto,互動/可見性,✓,✓,overflow-y:auto
overflow-y-scroll,互動/可見性,✓,✓,overflow-y:scroll
pointer-events-auto,互動/可見性,✓,✓,pointer-events:auto
pointer-events-none,互動/可見性,✓,✓,pointer-events:none
visible,互動/可見性,✓,✓,visibility:visible
aspect-poster,其他,✓,✓,aspect-ratio:var(--aspect-poster)
aspect-square,其他,✓,✓,aspect-ratio:1
aspect-video,其他,✓,✓,aspect-ratio:var(--aspect-video)
break-all,其他,✓,✓,word-break:break-all
break-keep,其他,✓,✓,word-break:keep-all
hyphens-auto,其他,✓,✓,-webkit-hyphens:auto; hyphens:auto
isolate,其他,✓,✓,isolation:isolate
italic,其他,✓,✓,font-style:italic
items-baseline,其他,✓,✓,align-items:baseline
items-center,其他,✓,✓,align-items:center
items-stretch,其他,✓,✓,align-items:stretch
justify-between,其他,✓,✓,justify-content:space-between
justify-center,其他,✓,✓,justify-content:center
justify-self-center,其他,✓,✓,justify-self:center
line-clamp-1,其他,✓,✓,-webkit-line-clamp:1
line-clamp-3,其他,✓,✓,-webkit-line-clamp:3
mix-blend-multiply,其他,✓,✓,mix-blend-mode:multiply
not-italic,其他,✓,✓,font-style:normal
order-1,其他,✓,✓,order:1
order-2,其他,✓,✓,order:2
order-3,其他,✓,✓,order:3
order-4,其他,✓,✓,order:4
order-first,其他,✓,✓,order:-9999
order-last,其他,✓,✓,order:9999
prose-invert,其他,✓,✓,--tw-prose-body:var(--tw-prose-invert-body); --tw-prose-headings:var(--tw-prose-invert-headings); --
resize,其他,✓,✓,resize:both
select-none,其他,✓,✓,-webkit-user-select:none; user-select:none
self-center,其他,✓,✓,align-self:center
self-stretch,其他,✓,✓,align-self:stretch
tabular-nums,其他,✓,✓,"--tw-numeric-spacing:tabular-nums; font-variant-numeric:var(--tw-ordinal,)var(--tw-slashed-zero,)var"
touch-manipulation,其他,✓,✓,touch-action:manipulation
touch-none,其他,✓,✓,touch-action:none
touch-pan-y,其他,✓,✓,"--tw-pan-y:pan-y; touch-action:var(--tw-pan-x,)var(--tw-pan-y,)var(--tw-pinch-zoom,)"
tracking-normal,其他,✓,✓,--tw-tracking:var(--tracking-normal); letter-spacing:var(--tracking-normal)
tracking-tight,其他,✓,✓,--tw-tracking:var(--tracking-tight); letter-spacing:var(--tracking-tight)
