class名稱,分類,聊天室,角色介面,樣式
swiper-slide,Slide 基礎,? 待測,? 待測,flex-shrink:0; width:100%; height:100%; position:relative; transition-property:transform; display:bl
swiper-slide-invisible-blank,Slide 基礎,? 待測,? 待測,visibility:hidden
swiper-slide-shadow,Slide 基礎,? 待測,? 待測,"background:rgba(0,0,0,.15)"
swiper-slide-shadow-bottom,Slide 基礎,? 待測,? 待測,"background-image:linear-gradient(180deg,rgba(0,0,0,.5),rgba(0,0,0,0))"
swiper-slide-shadow-left,Slide 基礎,? 待測,? 待測,"background-image:linear-gradient(270deg,rgba(0,0,0,.5),rgba(0,0,0,0))"
swiper-slide-shadow-right,Slide 基礎,? 待測,? 待測,"background-image:linear-gradient(90deg,rgba(0,0,0,.5),rgba(0,0,0,0))"
swiper-slide-shadow-top,Slide 基礎,? 待測,? 待測,position:absolute; left:0; top:0; width:100%; height:100%; pointer-events:none; z-index:10 | backgro
swiper-slide-active,Slide 狀態,? 待測,? 待測,pointer-events:auto
swiper,Swiper 容器,? 待測,? 待測,margin-left:auto; margin-right:auto; position:relative; overflow:hidden; list-style:none; padding:0;
swiper-navigation-icon,Swiper 容器,? 待測,? 待測,transform:rotate(180deg) | transform:rotate(180deg) | transform:rotate(0deg) | transform:rotate(-90d
swiper-wrapper,Wrapper,? 待測,? 待測,flex-direction:column | position:relative; width:100%; height:100%; z-index:1; display:flex; transit
swiper-pagination-bullet,分頁 bullet,? 待測,? 待測,"transform:scale(.33); position:relative | margin:var(--swiper-pagination-bullet-vertical-gap,6px) 0;"
swiper-pagination-bullet-active,分頁 bullet,? 待測,? 待測,"opacity:var(--swiper-pagination-bullet-opacity,1); background:var(--swiper-pagination-color,var(--sw"
swiper-pagination-bullet-active-main,分頁 bullet,? 待測,? 待測,transform:scale(1)
swiper-pagination-bullet-active-next,分頁 bullet,? 待測,? 待測,transform:scale(.66)
swiper-pagination-bullet-active-next-next,分頁 bullet,? 待測,? 待測,transform:scale(.33)
swiper-pagination-bullet-active-prev,分頁 bullet,? 待測,? 待測,transform:scale(.66)
swiper-pagination-bullet-active-prev-prev,分頁 bullet,? 待測,? 待測,transform:scale(.33)
swiper-pagination-fraction,分頁 fraction,? 待測,? 待測,"bottom:var(--swiper-pagination-bottom,8px); top:var(--swiper-pagination-top,auto); left:0; width:100"
swiper-pagination-progressbar-fill,分頁 progressbar,? 待測,? 待測,"background:var(--swiper-pagination-color,var(--swiper-theme-color)); position:absolute; left:0; top:"
swiper-pagination-progressbar-opposite,分頁 progressbar,? 待測,? 待測,"width:100%; height:var(--swiper-pagination-progressbar-size,4px); left:0; top:0"
swiper-pagination-hidden,分頁（其他）,? 待測,? 待測,opacity:0
swiper-pagination-lock,分頁（其他）,? 待測,? 待測,display:none
swiper-button-disabled,導航按鈕,? 待測,? 待測,opacity:.35; cursor:auto; pointer-events:none
swiper-button-hidden,導航按鈕,? 待測,? 待測,opacity:0; cursor:auto; pointer-events:none
swiper-button-lock,導航按鈕,? 待測,? 待測,display:none
swiper-button-next,導航按鈕,? 待測,? 待測,"right:var(--swiper-navigation-sides-offset,4px); left:auto | right:var(--swiper-navigation-sides-off"
swiper-button-prev,導航按鈕,? 待測,? 待測,"top:var(--swiper-navigation-top-offset,50%); margin-top:calc(0px - (var(--swiper-navigation-size) / "
swiper-lazy-preloader,懶載入,? 待測,? 待測,width:42px; height:42px; position:absolute; left:50%; top:50%; margin-left:-21px; margin-top:-21px; 
swiper-lazy-preloader-black,懶載入,? 待測,? 待測,--swiper-preloader-color:#000
swiper-lazy-preloader-white,懶載入,? 待測,? 待測,--swiper-preloader-color:#fff
swiper-horizontal,方向,? 待測,? 待測,touch-action:pan-y
swiper-vertical,方向,? 待測,? 待測,touch-action:pan-x
