函式庫,變數名稱,預設值
Tailwind CSS, --tw-translate-x,0
Tailwind CSS, --tw-translate-y,0
Tailwind CSS, --tw-translate-z,0
Tailwind CSS, --tw-scale-x,1
Tailwind CSS, --tw-scale-y,1
Tailwind CSS, --tw-scale-z,1
Tailwind CSS, --tw-rotate-x,initial
Tailwind CSS, --tw-rotate-y,initial
Tailwind CSS, --tw-rotate-z,initial
Tailwind CSS, --tw-skew-x,initial
Tailwind CSS, --tw-skew-y,initial
Tailwind CSS, --tw-pan-x,initial
Tailwind CSS, --tw-pan-y,initial
Tailwind CSS, --tw-pinch-zoom,initial
Tailwind CSS, --tw-scroll-snap-strictness,proximity
Tailwind CSS, --tw-space-y-reverse,0
Tailwind CSS, --tw-space-x-reverse,0
Tailwind CSS, --tw-divide-x-reverse,0
Tailwind CSS, --tw-border-style,solid
Tailwind CSS, --tw-divide-y-reverse,0
Tailwind CSS, --tw-gradient-position,initial
Tailwind CSS, --tw-gradient-from,#0000
Tailwind CSS, --tw-gradient-via,#0000
Tailwind CSS, --tw-gradient-to,#0000
Tailwind CSS, --tw-gradient-stops,initial
Tailwind CSS, --tw-gradient-via-stops,initial
Tailwind CSS, --tw-gradient-from-position,0%
Tailwind CSS, --tw-gradient-via-position,50%
Tailwind CSS, --tw-gradient-to-position,100%
Tailwind CSS, --tw-leading,initial
Tailwind CSS, --tw-font-weight,initial
Tailwind CSS, --tw-tracking,initial
Tailwind CSS, --tw-ordinal,initial
Tailwind CSS, --tw-slashed-zero,initial
Tailwind CSS, --tw-numeric-figure,initial
Tailwind CSS, --tw-numeric-spacing,initial
Tailwind CSS, --tw-numeric-fraction,initial
Tailwind CSS, --tw-shadow,0 0 #0000
Tailwind CSS, --tw-shadow-color,initial
Tailwind CSS, --tw-shadow-alpha,100%
Tailwind CSS, --tw-inset-shadow,0 0 #0000
Tailwind CSS, --tw-inset-shadow-color,initial
Tailwind CSS, --tw-inset-shadow-alpha,100%
Tailwind CSS, --tw-ring-color,initial
Tailwind CSS, --tw-ring-shadow,0 0 #0000
Tailwind CSS, --tw-inset-ring-color,initial
Tailwind CSS, --tw-inset-ring-shadow,0 0 #0000
Tailwind CSS, --tw-ring-inset,initial
Tailwind CSS, --tw-ring-offset-width,0px
Tailwind CSS, --tw-ring-offset-color,#fff
Tailwind CSS, --tw-ring-offset-shadow,0 0 #0000
Tailwind CSS, --tw-outline-style,solid
Tailwind CSS, --tw-blur,initial
Tailwind CSS, --tw-brightness,initial
Tailwind CSS, --tw-contrast,initial
Tailwind CSS, --tw-grayscale,initial
Tailwind CSS, --tw-hue-rotate,initial
Tailwind CSS, --tw-invert,initial
Tailwind CSS, --tw-opacity,initial
Tailwind CSS, --tw-saturate,initial
Tailwind CSS, --tw-sepia,initial
Tailwind CSS, --tw-drop-shadow,initial
Tailwind CSS, --tw-drop-shadow-color,initial
Tailwind CSS, --tw-drop-shadow-alpha,100%
Tailwind CSS, --tw-drop-shadow-size,initial
Tailwind CSS, --tw-backdrop-blur,initial
Tailwind CSS, --tw-backdrop-brightness,initial
Tailwind CSS, --tw-backdrop-contrast,initial
Tailwind CSS, --tw-backdrop-grayscale,initial
Tailwind CSS, --tw-backdrop-hue-rotate,initial
Tailwind CSS, --tw-backdrop-invert,initial
Tailwind CSS, --tw-backdrop-opacity,initial
Tailwind CSS, --tw-backdrop-saturate,initial
Tailwind CSS, --tw-backdrop-sepia,initial
Tailwind CSS, --tw-duration,initial
Tailwind CSS, --tw-ease,initial
Tailwind CSS, --tw-content,""""""
Tailwind CSS, --tw-animation-delay,0s
Tailwind CSS, --tw-animation-direction,normal
Tailwind CSS, --tw-animation-duration,initial
Tailwind CSS, --tw-animation-fill-mode,none
Tailwind CSS, --tw-animation-iteration-count,1
Tailwind CSS, --tw-enter-blur,0
Tailwind CSS, --tw-enter-opacity,1
Tailwind CSS, --tw-enter-rotate,0
Tailwind CSS, --tw-enter-scale,1
Tailwind CSS, --tw-enter-translate-x,0
Tailwind CSS, --tw-enter-translate-y,0
Tailwind CSS, --tw-exit-blur,0
Tailwind CSS, --tw-exit-opacity,1
Tailwind CSS, --tw-exit-rotate,0
Tailwind CSS, --tw-exit-scale,1
Tailwind CSS, --tw-exit-translate-x,0
Tailwind CSS, --tw-exit-translate-y,0
Tailwind CSS, --font-sans,"ui-sans-serif,system-ui,sans-serif,""Apple Color Emoji"",""Segoe UI Emoji"",""Segoe UI Symbol"",""Noto Color Emoji"""
Tailwind CSS, --font-serif,"ui-serif,Georgia,Cambria,""Times New Roman"",Times,serif"
Tailwind CSS, --font-mono,"ui-monospace,SFMono-Regular,Menlo,Monaco,Consolas,""Liberation Mono"",""Courier New"",monospace"
Tailwind CSS, --color-red-50,oklch(97.1% .013 17.38)
Tailwind CSS, --color-red-100,oklch(93.6% .032 17.717)
Tailwind CSS, --color-red-200,oklch(88.5% .062 18.334)
Tailwind CSS, --color-red-300,oklch(80.8% .114 19.571)
Tailwind CSS, --color-red-400,oklch(70.4% .191 22.216)
Tailwind CSS, --color-red-500,oklch(63.7% .237 25.331)
Tailwind CSS, --color-red-600,oklch(57.7% .245 27.325)
Tailwind CSS, --color-red-700,oklch(50.5% .213 27.518)
Tailwind CSS, --color-red-800,oklch(44.4% .177 26.899)
Tailwind CSS, --color-red-900,oklch(39.6% .141 25.723)
Tailwind CSS, --color-red-950,oklch(25.8% .092 26.042)
Tailwind CSS, --color-orange-400,oklch(75% .183 55.934)
Tailwind CSS, --color-orange-500,oklch(70.5% .213 47.604)
Tailwind CSS, --color-orange-600,oklch(64.6% .222 41.116)
Tailwind CSS, --color-amber-100,oklch(96.2% .059 95.617)
Tailwind CSS, --color-amber-300,oklch(87.9% .169 91.605)
Tailwind CSS, --color-amber-400,oklch(82.8% .189 84.429)
Tailwind CSS, --color-amber-500,oklch(76.9% .188 70.08)
Tailwind CSS, --color-amber-600,oklch(66.6% .179 58.318)
Tailwind CSS, --color-amber-800,oklch(47.3% .137 46.201)
Tailwind CSS, --color-amber-950,oklch(27.9% .077 45.635)
Tailwind CSS, --color-yellow-100,oklch(97.3% .071 103.193)
Tailwind CSS, --color-yellow-300,oklch(90.5% .182 98.111)
Tailwind CSS, --color-yellow-400,oklch(85.2% .199 91.936)
Tailwind CSS, --color-yellow-500,oklch(79.5% .184 86.047)
Tailwind CSS, --color-yellow-600,oklch(68.1% .162 75.834)
Tailwind CSS, --color-yellow-900,oklch(42.1% .095 57.708)
Tailwind CSS, --color-yellow-950,oklch(28.6% .066 53.813)
Tailwind CSS, --color-green-100,oklch(96.2% .044 156.743)
Tailwind CSS, --color-green-300,oklch(87.1% .15 154.449)
Tailwind CSS, --color-green-400,oklch(79.2% .209 151.711)
Tailwind CSS, --color-green-500,oklch(72.3% .219 149.579)
Tailwind CSS, --color-green-600,oklch(62.7% .194 149.214)
Tailwind CSS, --color-green-700,oklch(52.7% .154 150.069)
Tailwind CSS, --color-green-800,oklch(44.8% .119 151.328)
Tailwind CSS, --color-green-900,oklch(39.3% .095 152.535)
Tailwind CSS, --color-green-950,oklch(26.6% .065 152.934)
Tailwind CSS, --color-emerald-300,oklch(84.5% .143 164.978)
Tailwind CSS, --color-emerald-400,oklch(76.5% .177 163.223)
Tailwind CSS, --color-emerald-500,oklch(69.6% .17 162.48)
Tailwind CSS, --color-emerald-600,oklch(59.6% .145 163.225)
Tailwind CSS, --color-teal-400,oklch(77.7% .152 181.912)
Tailwind CSS, --color-teal-500,oklch(70.4% .14 182.503)
Tailwind CSS, --color-cyan-400,oklch(78.9% .154 211.53)
Tailwind CSS, --color-cyan-500,oklch(71.5% .143 215.221)
Tailwind CSS, --color-blue-100,oklch(93.2% .032 255.585)
Tailwind CSS, --color-blue-300,oklch(80.9% .105 251.813)
Tailwind CSS, --color-blue-400,oklch(70.7% .165 254.624)
Tailwind CSS, --color-blue-500,oklch(62.3% .214 259.815)
Tailwind CSS, --color-blue-600,oklch(54.6% .245 262.881)
Tailwind CSS, --color-blue-700,oklch(48.8% .243 264.376)
Tailwind CSS, --color-blue-800,oklch(42.4% .199 265.638)
Tailwind CSS, --color-blue-950,oklch(28.2% .091 267.935)
