class 名稱,分類,樣式（全部值）,使用範例
animate__lightSpeedInLeft,光速 LightSpeed,-webkit-animation-name:lightSpeedInLeft; animation-name:lightSpeedInLeft; -webkit-animation-timing-function:ease-out; animation-timing-function:ease-out,"class=""animate__lightSpeedInLeft"""
animate__lightSpeedInRight,光速 LightSpeed,-webkit-animation-name:lightSpeedInRight; animation-name:lightSpeedInRight; -webkit-animation-timing-function:ease-out; animation-timing-function:ease-out,"class=""animate__lightSpeedInRight"""
animate__lightSpeedOutLeft,光速 LightSpeed,-webkit-animation-name:lightSpeedOutLeft; animation-name:lightSpeedOutLeft; -webkit-animation-timing-function:ease-in; animation-timing-function:ease-in,"class=""animate__lightSpeedOutLeft"""
animate__lightSpeedOutRight,光速 LightSpeed,-webkit-animation-name:lightSpeedOutRight; animation-name:lightSpeedOutRight; -webkit-animation-timing-function:ease-in; animation-timing-function:ease-in,"class=""animate__lightSpeedOutRight"""
animate__backInDown,其他,-webkit-animation-name:backInDown; animation-name:backInDown,"class=""animate__backInDown"""
animate__backInLeft,其他,-webkit-animation-name:backInLeft; animation-name:backInLeft,"class=""animate__backInLeft"""
animate__backInRight,其他,-webkit-animation-name:backInRight; animation-name:backInRight,"class=""animate__backInRight"""
animate__backInUp,其他,-webkit-animation-name:backInUp; animation-name:backInUp,"class=""animate__backInUp"""
animate__backOutDown,其他,-webkit-animation-name:backOutDown; animation-name:backOutDown,"class=""animate__backOutDown"""
animate__backOutLeft,其他,-webkit-animation-name:backOutLeft; animation-name:backOutLeft,"class=""animate__backOutLeft"""
animate__backOutRight,其他,-webkit-animation-name:backOutRight; animation-name:backOutRight,"class=""animate__backOutRight"""
animate__backOutUp,其他,-webkit-animation-name:backOutUp; animation-name:backOutUp,"class=""animate__backOutUp"""
animate__flash,其他,-webkit-animation-name:flash; animation-name:flash,"class=""animate__flash"""
animate__animated,基礎套用 class,-webkit-animation-duration:1s; animation-duration:1s; -webkit-animation-duration:var(--animate-duration); animation-duration:var(--animate-duration); -webkit-animation-fill-mode:both; animation-fill-mode:both | -webkit-animation-duration:1ms!important; animation-duration:1ms!important; -webkit-transition-duration:1ms!important; transition-duration:1ms!important; -webkit-animation-iteration-count:1!important; animation-iteration-count:1!important,"class=""animate__animated"""
animate__bounce,彈跳 Bounce,-webkit-animation-name:bounce; animation-name:bounce; -webkit-transform-origin:center bottom; transform-origin:center bottom,"class=""animate__bounce"""
animate__bounceIn,彈跳 Bounce,-webkit-animation-duration:calc(1s * .75); animation-duration:calc(1s * .75); -webkit-animation-duration:calc(var(--animate-duration) * .75); animation-duration:calc(var(--animate-duration) * .75); -webkit-animation-name:bounceIn; animation-name:bounceIn,"class=""animate__bounceIn"""
animate__bounceInDown,彈跳 Bounce,-webkit-animation-name:bounceInDown; animation-name:bounceInDown,"class=""animate__bounceInDown"""
animate__bounceInLeft,彈跳 Bounce,-webkit-animation-name:bounceInLeft; animation-name:bounceInLeft,"class=""animate__bounceInLeft"""
animate__bounceInRight,彈跳 Bounce,-webkit-animation-name:bounceInRight; animation-name:bounceInRight,"class=""animate__bounceInRight"""
animate__bounceInUp,彈跳 Bounce,-webkit-animation-name:bounceInUp; animation-name:bounceInUp,"class=""animate__bounceInUp"""
animate__bounceOut,彈跳 Bounce,-webkit-animation-duration:calc(1s * .75); animation-duration:calc(1s * .75); -webkit-animation-duration:calc(var(--animate-duration) * .75); animation-duration:calc(var(--animate-duration) * .75); -webkit-animation-name:bounceOut; animation-name:bounceOut,"class=""animate__bounceOut"""
animate__bounceOutDown,彈跳 Bounce,-webkit-animation-name:bounceOutDown; animation-name:bounceOutDown,"class=""animate__bounceOutDown"""
animate__bounceOutLeft,彈跳 Bounce,-webkit-animation-name:bounceOutLeft; animation-name:bounceOutLeft,"class=""animate__bounceOutLeft"""
animate__bounceOutRight,彈跳 Bounce,-webkit-animation-name:bounceOutRight; animation-name:bounceOutRight,"class=""animate__bounceOutRight"""
animate__bounceOutUp,彈跳 Bounce,-webkit-animation-name:bounceOutUp; animation-name:bounceOutUp,"class=""animate__bounceOutUp"""
animate__delay-1s,控制（速度/次數）,-webkit-animation-delay:1s; animation-delay:1s; -webkit-animation-delay:var(--animate-delay); animation-delay:var(--animate-delay),"class=""animate__delay-1s"""
animate__delay-2s,控制（速度/次數）,-webkit-animation-delay:calc(1s * 2); animation-delay:calc(1s * 2); -webkit-animation-delay:calc(var(--animate-delay) * 2); animation-delay:calc(var(--animate-delay) * 2),"class=""animate__delay-2s"""
animate__delay-3s,控制（速度/次數）,-webkit-animation-delay:calc(1s * 3); animation-delay:calc(1s * 3); -webkit-animation-delay:calc(var(--animate-delay) * 3); animation-delay:calc(var(--animate-delay) * 3),"class=""animate__delay-3s"""
animate__delay-4s,控制（速度/次數）,-webkit-animation-delay:calc(1s * 4); animation-delay:calc(1s * 4); -webkit-animation-delay:calc(var(--animate-delay) * 4); animation-delay:calc(var(--animate-delay) * 4),"class=""animate__delay-4s"""
animate__delay-5s,控制（速度/次數）,-webkit-animation-delay:calc(1s * 5); animation-delay:calc(1s * 5); -webkit-animation-delay:calc(var(--animate-delay) * 5); animation-delay:calc(var(--animate-delay) * 5),"class=""animate__delay-5s"""
animate__fast,控制（速度/次數）,-webkit-animation-duration:calc(1s * .8); animation-duration:calc(1s * .8); -webkit-animation-duration:calc(var(--animate-duration) * .8); animation-duration:calc(var(--animate-duration) * .8),"class=""animate__fast"""
animate__faster,控制（速度/次數）,-webkit-animation-duration:calc(1s / 2); animation-duration:calc(1s / 2); -webkit-animation-duration:calc(var(--animate-duration) / 2); animation-duration:calc(var(--animate-duration) / 2),"class=""animate__faster"""
animate__infinite,控制（速度/次數）,-webkit-animation-iteration-count:infinite; animation-iteration-count:infinite,"class=""animate__infinite"""
animate__repeat-1,控制（速度/次數）,-webkit-animation-iteration-count:1; animation-iteration-count:1; -webkit-animation-iteration-count:var(--animate-repeat); animation-iteration-count:var(--animate-repeat),"class=""animate__repeat-1"""
animate__repeat-2,控制（速度/次數）,-webkit-animation-iteration-count:calc(1 * 2); animation-iteration-count:calc(1 * 2); -webkit-animation-iteration-count:calc(var(--animate-repeat) * 2); animation-iteration-count:calc(var(--animate-repeat) * 2),"class=""animate__repeat-2"""
animate__repeat-3,控制（速度/次數）,-webkit-animation-iteration-count:calc(1 * 3); animation-iteration-count:calc(1 * 3); -webkit-animation-iteration-count:calc(var(--animate-repeat) * 3); animation-iteration-count:calc(var(--animate-repeat) * 3),"class=""animate__repeat-3"""
animate__slow,控制（速度/次數）,-webkit-animation-duration:calc(1s * 2); animation-duration:calc(1s * 2); -webkit-animation-duration:calc(var(--animate-duration) * 2); animation-duration:calc(var(--animate-duration) * 2),"class=""animate__slow"""
animate__slower,控制（速度/次數）,-webkit-animation-duration:calc(1s * 3); animation-duration:calc(1s * 3); -webkit-animation-duration:calc(var(--animate-duration) * 3); animation-duration:calc(var(--animate-duration) * 3),"class=""animate__slower"""
animate__rotateIn,旋轉 Rotate,-webkit-animation-name:rotateIn; animation-name:rotateIn; -webkit-transform-origin:center; transform-origin:center,"class=""animate__rotateIn"""
animate__rotateInDownLeft,旋轉 Rotate,-webkit-animation-name:rotateInDownLeft; animation-name:rotateInDownLeft; -webkit-transform-origin:left bottom; transform-origin:left bottom,"class=""animate__rotateInDownLeft"""
animate__rotateInDownRight,旋轉 Rotate,-webkit-animation-name:rotateInDownRight; animation-name:rotateInDownRight; -webkit-transform-origin:right bottom; transform-origin:right bottom,"class=""animate__rotateInDownRight"""
