CSS屬性,狀態
background-attachment,✓ 允許
background-clip,✓ 允許
background-color,✓ 允許
background-image,✓ 允許
background-origin,✓ 允許
background-position,✓ 允許
background-repeat,✓ 允許
background-size,✓ 允許
border-bottom,✓ 允許
border-bottom-color,✓ 允許
border-bottom-left-radius,✓ 允許
border-bottom-right-radius,✓ 允許
border-bottom-style,✓ 允許
border-bottom-width,✓ 允許
border-collapse,✓ 允許
border-color,✓ 允許
border-image,✓ 允許
border-image-outset,✓ 允許
border-image-repeat,✓ 允許
border-image-slice,✓ 允許
border-image-source,✓ 允許
border-image-width,✓ 允許
border-left,✓ 允許
border-left-color,✓ 允許
border-left-style,✓ 允許
border-left-width,✓ 允許
border-radius,✓ 允許
border-right,✓ 允許
border-right-color,✓ 允許
border-right-style,✓ 允許
border-right-width,✓ 允許
border-spacing,✓ 允許
border-style,✓ 允許
border-top,✓ 允許
border-top-color,✓ 允許
border-top-left-radius,✓ 允許
border-top-right-radius,✓ 允許
border-top-style,✓ 允許
border-top-width,✓ 允許
border-width,✓ 允許
box-decoration-break,✓ 允許
box-shadow,✓ 允許
box-sizing,✓ 允許
box-snap,✓ 允許
box-suppress,✓ 允許
break-after,✓ 允許
break-before,✓ 允許
break-inside,✓ 允許
color-interpolation-filters,✓ 允許
display-inside,✓ 允許
display-list,✓ 允許
display-outside,✓ 允許
font-family,✓ 允許
font-feature-settings,✓ 允許
font-kerning,✓ 允許
font-language-override,✓ 允許
font-size,✓ 允許
font-size-adjust,✓ 允許
font-stretch,✓ 允許
font-style,✓ 允許
font-synthesis,✓ 允許
font-variant,✓ 允許
font-variant-alternates,✓ 允許
font-variant-caps,✓ 允許
font-variant-east-asian,✓ 允許
font-variant-ligatures,✓ 允許
font-variant-numeric,✓ 允許
font-variant-position,✓ 允許
font-weight,✓ 允許
letter-spacing,✓ 允許
lighting-color,✓ 允許
list-style,✓ 允許
list-style-image,✓ 允許
list-style-position,✓ 允許
list-style-type,✓ 允許
margin-bottom,✓ 允許
margin-left,✓ 允許
margin-right,✓ 允許
margin-top,✓ 允許
max-height,✓ 允許
max-width,✓ 允許
min-height,✓ 允許
min-width,✓ 允許
padding-bottom,✓ 允許
padding-left,✓ 允許
padding-right,✓ 允許
padding-top,✓ 允許
text-align,✓ 允許
text-align-last,✓ 允許
text-combine-upright,✓ 允許
text-decoration,✓ 允許
text-decoration-color,✓ 允許
text-decoration-line,✓ 允許
text-decoration-skip,✓ 允許
text-decoration-style,✓ 允許
text-emphasis,✓ 允許
text-emphasis-color,✓ 允許
text-emphasis-position,✓ 允許
text-emphasis-style,✓ 允許
text-height,✓ 允許
text-indent,✓ 允許
text-justify,✓ 允許
text-orientation,✓ 允許
text-overflow,✓ 允許
text-shadow,✓ 允許
text-space-collapse,✓ 允許
text-transform,✓ 允許
text-underline-position,✓ 允許
text-wrap,✓ 允許
word-break,✓ 允許
word-spacing,✓ 允許
word-wrap,✓ 允許
align-content,✗ 禁止
align-items,✗ 禁止
align-self,✗ 禁止
alignment-adjust,✗ 禁止
alignment-baseline,✗ 禁止
anchor-point,✗ 禁止
animation-delay,✗ 禁止
animation-direction,✗ 禁止
animation-duration,✗ 禁止
animation-fill-mode,✗ 禁止
animation-iteration-count,✗ 禁止
animation-name,✗ 禁止
animation-play-state,✗ 禁止
animation-timing-function,✗ 禁止
backface-visibility,✗ 禁止
baseline-shift,✗ 禁止
bookmark-label,✗ 禁止
bookmark-level,✗ 禁止
bookmark-state,✗ 禁止
caption-side,✗ 禁止
clip-path,✗ 禁止
clip-rule,✗ 禁止
column-count,✗ 禁止
column-fill,✗ 禁止
column-gap,✗ 禁止
column-rule,✗ 禁止
column-rule-color,✗ 禁止
column-rule-style,✗ 禁止
column-rule-width,✗ 禁止
column-span,✗ 禁止
column-width,✗ 禁止
counter-increment,✗ 禁止
counter-reset,✗ 禁止
counter-set,✗ 禁止
cue-after,✗ 禁止
cue-before,✗ 禁止
dominant-baseline,✗ 禁止
empty-cells,✗ 禁止
flex-basis,✗ 禁止
flex-direction,✗ 禁止
flex-flow,✗ 禁止
flex-grow,✗ 禁止
flex-shrink,✗ 禁止
flex-wrap,✗ 禁止
float-offset,✗ 禁止
flood-color,✗ 禁止
flood-opacity,✗ 禁止
flow-from,✗ 禁止
flow-into,✗ 禁止
grid-area,✗ 禁止
grid-auto-columns,✗ 禁止
grid-auto-flow,✗ 禁止
grid-auto-rows,✗ 禁止
grid-column,✗ 禁止
grid-column-end,✗ 禁止
grid-column-start,✗ 禁止
grid-row,✗ 禁止
grid-row-end,✗ 禁止
grid-row-start,✗ 禁止
grid-template,✗ 禁止
grid-template-areas,✗ 禁止
grid-template-columns,✗ 禁止
grid-template-rows,✗ 禁止
hanging-punctuation,✗ 禁止
image-orientation,✗ 禁止
image-resolution,✗ 禁止
ime-mode,✗ 禁止
initial-letters,✗ 禁止
inline-box-align,✗ 禁止
justify-content,✗ 禁止
justify-items,✗ 禁止
justify-self,✗ 禁止
line-box-contain,✗ 禁止
line-break,✗ 禁止
line-grid,✗ 禁止
line-height,✗ 禁止
line-snap,✗ 禁止
line-stacking,✗ 禁止
line-stacking-ruby,✗ 禁止
line-stacking-shift,✗ 禁止
line-stacking-strategy,✗ 禁止
marker-offset,✗ 禁止
marker-side,✗ 禁止
mask-box,✗ 禁止
mask-box-outset,✗ 禁止
mask-box-repeat,✗ 禁止
mask-box-slice,✗ 禁止
mask-box-source,✗ 禁止
mask-box-width,✗ 禁止
mask-clip,✗ 禁止
mask-image,✗ 禁止
mask-origin,✗ 禁止
mask-position,✗ 禁止
mask-repeat,✗ 禁止
mask-size,✗ 禁止
mask-source-type,✗ 禁止
mask-type,✗ 禁止
max-lines,✗ 禁止
move-to,✗ 禁止
nav-down,✗ 禁止
nav-index,✗ 禁止
nav-left,✗ 禁止
nav-right,✗ 禁止
nav-up,✗ 禁止
object-fit,✗ 禁止
object-position,✗ 禁止
outline-color,✗ 禁止
outline-offset,✗ 禁止
outline-style,✗ 禁止
outline-width,✗ 禁止
overflow-wrap,✗ 禁止
overflow-x,✗ 禁止
overflow-y,✗ 禁止
page-break-after,✗ 禁止
page-break-before,✗ 禁止
page-break-inside,✗ 禁止
page-policy,✗ 禁止
pause-after,✗ 禁止
pause-before,✗ 禁止
perspective-origin,✗ 禁止
pitch-range,✗ 禁止
play-during,✗ 禁止
presentation-level,✗ 禁止
region-fragment,✗ 禁止
rest-after,✗ 禁止
rest-before,✗ 禁止
rotation-point,✗ 禁止
ruby-align,✗ 禁止
ruby-merge,✗ 禁止
ruby-position,✗ 禁止
shape-image-threshold,✗ 禁止
shape-margin,✗ 禁止
shape-outside,✗ 禁止
speak-as,✗ 禁止
speak-header,✗ 禁止
speak-numeral,✗ 禁止
speak-punctuation,✗ 禁止
speech-rate,✗ 禁止
string-set,✗ 禁止
tab-size,✗ 禁止
table-layout,✗ 禁止
transform-origin,✗ 禁止
transform-style,✗ 禁止
transition-delay,✗ 禁止
transition-duration,✗ 禁止
transition-property,✗ 禁止
transition-timing-function,✗ 禁止
unicode-bidi,✗ 禁止
vertical-align,✗ 禁止
voice-balance,✗ 禁止
voice-duration,✗ 禁止
voice-family,✗ 禁止
voice-pitch,✗ 禁止
voice-range,✗ 禁止
voice-rate,✗ 禁止
voice-stress,✗ 禁止
voice-volume,✗ 禁止
white-space,✗ 禁止
will-change,✗ 禁止
wrap-flow,✗ 禁止
wrap-through,✗ 禁止
writing-mode,✗ 禁止
z-index,✗ 禁止
