來源,變數名稱,值
10128161fe71f379.css, --tw-translate-x,0
10128161fe71f379.css, --tw-translate-y,0
10128161fe71f379.css, --tw-translate-z,0
10128161fe71f379.css, --tw-scale-x,1
10128161fe71f379.css, --tw-scale-y,1
10128161fe71f379.css, --tw-scale-z,1
10128161fe71f379.css, --tw-rotate-x,initial
10128161fe71f379.css, --tw-rotate-y,initial
10128161fe71f379.css, --tw-rotate-z,initial
10128161fe71f379.css, --tw-skew-x,initial
10128161fe71f379.css, --tw-skew-y,initial
10128161fe71f379.css, --tw-pan-x,initial
10128161fe71f379.css, --tw-pan-y,initial
10128161fe71f379.css, --tw-pinch-zoom,initial
10128161fe71f379.css, --tw-scroll-snap-strictness,proximity
10128161fe71f379.css, --tw-space-y-reverse,0
10128161fe71f379.css, --tw-space-x-reverse,0
10128161fe71f379.css, --tw-divide-x-reverse,0
10128161fe71f379.css, --tw-border-style,solid
10128161fe71f379.css, --tw-divide-y-reverse,0
10128161fe71f379.css, --tw-gradient-position,initial
10128161fe71f379.css, --tw-gradient-from,#0000
10128161fe71f379.css, --tw-gradient-via,#0000
10128161fe71f379.css, --tw-gradient-to,#0000
10128161fe71f379.css, --tw-gradient-stops,initial
10128161fe71f379.css, --tw-gradient-via-stops,initial
10128161fe71f379.css, --tw-gradient-from-position,0%
10128161fe71f379.css, --tw-gradient-via-position,50%
10128161fe71f379.css, --tw-gradient-to-position,100%
10128161fe71f379.css, --tw-leading,initial
10128161fe71f379.css, --tw-font-weight,initial
10128161fe71f379.css, --tw-tracking,initial
10128161fe71f379.css, --tw-ordinal,initial
10128161fe71f379.css, --tw-slashed-zero,initial
10128161fe71f379.css, --tw-numeric-figure,initial
10128161fe71f379.css, --tw-numeric-spacing,initial
10128161fe71f379.css, --tw-numeric-fraction,initial
10128161fe71f379.css, --tw-shadow,0 0 #0000
10128161fe71f379.css, --tw-shadow-color,initial
10128161fe71f379.css, --tw-shadow-alpha,100%
10128161fe71f379.css, --tw-inset-shadow,0 0 #0000
10128161fe71f379.css, --tw-inset-shadow-color,initial
10128161fe71f379.css, --tw-inset-shadow-alpha,100%
