HTML標籤,DOMPurify允許,DOMPurify禁止內容,xss白名單
a,✓,,✓
abbr,✓,,✓
acronym,✓,,
address,✓,,✓
annotation-xml,,✓,
area,✓,,✓
article,✓,,✓
aside,✓,,✓
audio,✓,✓,✓
b,✓,,✓
bdi,✓,,✓
bdo,✓,,✓
big,✓,,✓
blink,✓,,
blockquote,✓,,✓
body,✓,,
br,✓,,✓
button,✓,,
canvas,✓,,
caption,✓,,✓
center,✓,,✓
cite,✓,,✓
code,✓,,✓
col,✓,,✓
colgroup,✓,✓,✓
content,✓,,
data,✓,,
datalist,✓,,
dd,✓,,✓
decorator,✓,,
del,✓,,✓
desc,,✓,
details,✓,,✓
dfn,✓,,
dialog,✓,,
dir,✓,,
div,✓,,✓
dl,✓,,✓
dt,✓,,✓
element,✓,,
em,✓,,✓
fieldset,✓,,
figcaption,✓,,✓
figure,✓,,✓
font,✓,,✓
footer,✓,,✓
foreignobject,,✓,
form,✓,,
h1,✓,,✓
h2,✓,,✓
h3,✓,,✓
h4,✓,,✓
h5,✓,,✓
h6,✓,,✓
head,✓,✓,
header,✓,,✓
hgroup,✓,,
hr,✓,,✓
html,✓,,
i,✓,,✓
iframe,,✓,
img,✓,,✓
input,✓,,
ins,✓,,✓
kbd,✓,,✓
label,✓,,
legend,✓,,
li,✓,,✓
main,✓,,
map,✓,,
mark,✓,,✓
marquee,✓,,
math,,✓,
menu,✓,,
menuitem,✓,,
meter,✓,,
mi,,✓,
mn,,✓,
mo,,✓,
ms,,✓,
mtext,,✓,
nav,✓,,✓
nobr,✓,,
noembed,,✓,
noframes,,✓,
noscript,,✓,
ol,✓,,✓
optgroup,✓,,
option,✓,,
output,✓,,
p,✓,,✓
picture,✓,,
plaintext,,✓,
pre,✓,,✓
progress,✓,,
q,✓,,
rp,✓,,
rt,✓,,
ruby,✓,,
s,✓,,✓
samp,✓,,
script,,✓,
search,✓,,
section,✓,,✓
select,✓,,
shadow,✓,,
slot,✓,,
small,✓,,✓
source,✓,,
spacer,✓,,
span,✓,,✓
strike,✓,,✓
strong,✓,,✓
style,✓,✓,
sub,✓,,✓
summary,✓,,✓
sup,✓,,✓
svg,,✓,
table,✓,,✓
tbody,✓,,✓
td,✓,,✓
template,✓,✓,
textarea,✓,,
tfoot,✓,,✓
th,✓,,✓
thead,✓,✓,✓
time,✓,,
title,,✓,
tr,✓,,✓
track,✓,,
tt,✓,,✓
u,✓,,✓
ul,✓,,✓
var,✓,,
video,✓,✓,✓
wbr,✓,,
xmp,,✓,
