標籤,屬性選擇器,選擇器原文,狀態,主要樣式
（全域）,,.markdown-body,全域,--base-size-4:0.25rem; --base-size-8:0.5rem; --base-size-16:1rem; --base-size-24:1.5rem; --base-size-40:2.5rem; --base-text-weight-normal:400; --base-text-weight-medium:500; --base-text-weight-semibold:600
"h1, h2, h3, h4, h5, h6, link",,".markdown-body h1:hover .anchor .octicon-link:before,.markdown-body h2:hover .anchor .octicon-link:before,.markdown-body",✓ 支援,"width:16px; height:16px; content:"" ""; display:inline-block; background-color:currentColor; -webkit-mask-image:url(""data:image/svg+xml,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 16 16' version='1.1' aria-hidden='true'><path fill-rule='evenodd' d='M7.775 3.275a.75.75 0 001.06 1.06l1.25-1.25a"
"details, figcaption, figure",,".markdown-body details,.markdown-body figcaption,.markdown-body figure",✓ 支援,display:block
summary,,.markdown-body summary,✓ 支援,display:list-item
（屬性選擇器）,hidden,.markdown-body [hidden],✓ 支援,display:none!important
a,,.markdown-body a,✓ 支援,background-color:transparent; color:var(--fgColor-accent); text-decoration:none
"abbr, title",title,.markdown-body abbr[title],✓ 支援,border-bottom:none; -webkit-text-decoration:underline dotted; text-decoration:underline dotted
"b, strong",,".markdown-body b,.markdown-body strong",✓ 支援,"font-weight:var(--base-text-weight-semibold,600)"
dfn,,.markdown-body dfn,✓ 支援,font-style:italic
h1,,.markdown-body h1,✓ 支援,"margin:.67em 0; font-weight:var(--base-text-weight-semibold,600); padding-bottom:.3em; font-size:2em; border-bottom:1px solid var(--borderColor-muted)"
mark,,.markdown-body mark,✓ 支援,background-color:var(--bgColor-attention-muted); color:var(--fgColor-default)
small,,.markdown-body small,✓ 支援,font-size:90%
"sub, sup",,".markdown-body sub,.markdown-body sup",✓ 支援,font-size:75%; line-height:0; position:relative; vertical-align:baseline
sub,,.markdown-body sub,✓ 支援,bottom:-.25em
sup,,.markdown-body sup,✓ 支援,top:-.5em
img,,.markdown-body img,✓ 支援,border-style:none; max-width:100%; box-sizing:content-box
"code, kbd, pre, samp",,".markdown-body code,.markdown-body kbd,.markdown-body pre,.markdown-body samp",✓ 支援,font-family:monospace; font-size:1em
figure,,.markdown-body figure,✓ 支援,margin:1em var(--base-size-40)
hr,,.markdown-body hr,✓ 支援,box-sizing:content-box; overflow:hidden; background:transparent; height:.25em; padding:0; margin:var(--base-size-24) 0; background-color:var(--borderColor-default); border:0
input,,.markdown-body input,✓ 支援,font:inherit; margin:0; overflow:visible; font-family:inherit; font-size:inherit; line-height:inherit
button,"type=button, type=reset, type=submit",".markdown-body [type=button],.markdown-body [type=reset],.markdown-body [type=submit]",✓ 支援,-webkit-appearance:button; appearance:button
（屬性選擇器）,"type=checkbox, type=radio",".markdown-body [type=checkbox],.markdown-body [type=radio]",✓ 支援,box-sizing:border-box; padding:0
button,"type=number, type=number",".markdown-body [type=number]::-webkit-inner-spin-button,.markdown-body [type=number]::-webkit-outer-spin-button",✓ 支援,height:auto
"button, search","type=search, type=search",".markdown-body [type=search]::-webkit-search-cancel-button,.markdown-body [type=search]::-webkit-search-decoration",✓ 支援,-webkit-appearance:none; appearance:none
input,,.markdown-body ::-webkit-input-placeholder,✓ 支援,color:inherit; opacity:.54
button,,.markdown-body ::-webkit-file-upload-button,✓ 支援,-webkit-appearance:button; appearance:button; font:inherit
a,,.markdown-body a:hover,✓ 支援,text-decoration:underline
hr,,".markdown-body hr:after,.markdown-body hr:before",✓ 支援,"display:table; content:"""""
hr,,.markdown-body hr:after,✓ 支援,clear:both
table,,.markdown-body table,✓ 支援,border-spacing:0; border-collapse:collapse; display:block; width:max-content; max-width:100%; overflow:auto; font-variant:tabular-nums
"td, th",,".markdown-body td,.markdown-body th",✓ 支援,padding:0
"details, summary",,.markdown-body details summary,✓ 支援,cursor:pointer
"a, button, input","role=button, type=checkbox, type=radio",".markdown-body [role=button]:focus,.markdown-body a:focus,.markdown-body input[type=checkbox]:focus,.markdown-body input",✓ 支援,outline:2px solid var(--focus-outlineColor); outline-offset:-2px; box-shadow:none
"a, button, input","role=button, type=checkbox, type=radio",".markdown-body [role=button]:focus:not(:focus-visible),.markdown-body a:focus:not(:focus-visible),.markdown-body input[t",✓ 支援,outline:1px solid transparent
"a, button, input","role=button, type=checkbox, type=radio",".markdown-body [role=button]:focus-visible,.markdown-body a:focus-visible,.markdown-body input[type=checkbox]:focus-visi",✓ 支援,outline:2px solid var(--focus-outlineColor); outline-offset:-2px; box-shadow:none
"a, input","class, class, type=checkbox, type=checkbox, type=radio, type=radio",".markdown-body a:not([class]):focus,.markdown-body a:not([class]):focus-visible,.markdown-body input[type=checkbox]:focu",✓ 支援,outline-offset:0
kbd,,.markdown-body kbd,✓ 支援,"display:inline-block; padding:var(--base-size-4); font:11px var(
      --fontStack-monospace,ui-monospace,SFMono-Regular,SF Mono,Menlo,Consolas,Liberation Mono,monospace
    ); line-height:10px; color:var(--fgColor-default); vertical-align:middle; background-color:var(--bgColor-muted); border-bottom"
"h1, h2, h3, h4, h5, h6",,".markdown-body h1,.markdown-body h2,.markdown-body h3,.markdown-body h4,.markdown-body h5,.markdown-body h6",✓ 支援,"margin-top:var(--base-size-24); margin-bottom:var(--base-size-16); font-weight:var(--base-text-weight-semibold,600); line-height:1.25"
h2,,.markdown-body h2,✓ 支援,padding-bottom:.3em; font-size:1.5em; border-bottom:1px solid var(--borderColor-muted)
"h2, h3",,".markdown-body h2,.markdown-body h3",✓ 支援,"font-weight:var(--base-text-weight-semibold,600)"
h3,,.markdown-body h3,✓ 支援,font-size:1.25em
h4,,.markdown-body h4,✓ 支援,font-size:1em
"h4, h5",,".markdown-body h4,.markdown-body h5",✓ 支援,"font-weight:var(--base-text-weight-semibold,600)"
h5,,.markdown-body h5,✓ 支援,font-size:.875em
h6,,.markdown-body h6,✓ 支援,"font-weight:var(--base-text-weight-semibold,600); font-size:.85em; color:var(--fgColor-muted)"
p,,.markdown-body p,✓ 支援,margin-top:0; margin-bottom:10px
blockquote,,.markdown-body blockquote,✓ 支援,margin:0; padding:0 1em; color:var(--fgColor-muted); border-left:.25em solid var(--borderColor-default)
"ol, ul",,".markdown-body ol,.markdown-body ul",✓ 支援,margin-top:0; margin-bottom:0; padding-left:2em
"ol, ul",,".markdown-body ol ol,.markdown-body ul ol",✓ 支援,list-style-type:lower-roman
"ol, ul",,".markdown-body ol ol ol,.markdown-body ol ul ol,.markdown-body ul ol ol,.markdown-body ul ul ol",✓ 支援,list-style-type:lower-alpha
dd,,.markdown-body dd,✓ 支援,margin-left:0
"code, pre, samp",,".markdown-body code,.markdown-body pre,.markdown-body samp,.markdown-body tt",✓ 支援,"font-family:var(
    --fontStack-monospace,ui-monospace,SFMono-Regular,SF Mono,Menlo,Consolas,Liberation Mono,monospace
  ); font-size:12px"
pre,,.markdown-body pre,✓ 支援,margin-top:0; margin-bottom:0; word-wrap:normal
"button, input",,".markdown-body input::-webkit-inner-spin-button,.markdown-body input::-webkit-outer-spin-button",✓ 支援,margin:0; appearance:none
a,href,.markdown-body a:not([href]),✓ 支援,color:inherit; text-decoration:none
"blockquote, details, dl, ol, p, pre, table, ul",,".markdown-body blockquote,.markdown-body details,.markdown-body dl,.markdown-body ol,.markdown-body p,.markdown-body pre",✓ 支援,margin-top:0; margin-bottom:var(--base-size-16)
blockquote,,.markdown-body blockquote>:first-child,✓ 支援,margin-top:0
blockquote,,.markdown-body blockquote>:last-child,✓ 支援,margin-bottom:0
