class 名稱,分類,樣式（全部值）,使用範例
swiper-slide,Slide 基礎,flex-shrink:0; width:100%; height:100%; position:relative; transition-property:transform; display:block | height:auto | transform:translateZ(0); backface-visibility:hidden | transform-style:preserve-3d | scroll-snap-align:start start | scroll-snap-align:none | scroll-snap-align:center center; scroll-snap-stop:always,"class=""swiper-slide"""
swiper-slide-invisible-blank,Slide 基礎,visibility:hidden,"class=""swiper-slide-invisible-blank"""
swiper-slide-shadow,Slide 基礎,"background:rgba(0,0,0,.15)","class=""swiper-slide-shadow"""
swiper-slide-shadow-bottom,Slide 基礎,"background-image:linear-gradient(180deg,rgba(0,0,0,.5),rgba(0,0,0,0))","class=""swiper-slide-shadow-bottom"""
swiper-slide-shadow-left,Slide 基礎,"background-image:linear-gradient(270deg,rgba(0,0,0,.5),rgba(0,0,0,0))","class=""swiper-slide-shadow-left"""
swiper-slide-shadow-right,Slide 基礎,"background-image:linear-gradient(90deg,rgba(0,0,0,.5),rgba(0,0,0,0))","class=""swiper-slide-shadow-right"""
swiper-slide-shadow-top,Slide 基礎,"position:absolute; left:0; top:0; width:100%; height:100%; pointer-events:none; z-index:10 | background-image:linear-gradient(0deg,rgba(0,0,0,.5),rgba(0,0,0,0))","class=""swiper-slide-shadow-top"""
swiper-slide-active,Slide 狀態,pointer-events:auto,"class=""swiper-slide-active"""
swiper,Swiper 容器,margin-left:auto; margin-right:auto; position:relative; overflow:hidden; list-style:none; padding:0; z-index:1; display:block,"class=""swiper"""
swiper-navigation-icon,Swiper 容器,transform:rotate(180deg) | transform:rotate(180deg) | transform:rotate(0deg) | transform:rotate(-90deg) | transform:rotate(90deg),"class=""swiper-navigation-icon"""
swiper-wrapper,Wrapper,"flex-direction:column | position:relative; width:100%; height:100%; z-index:1; display:flex; transition-property:transform; transition-timing-function:var(--swiper-wrapper-transition-timing-function,initial); box-sizing:content-box | transform:translateZ(0) | align-items:flex-start; transition-property:transform,height | perspective:1200px | transform-style:preserve-3d | scroll-snap-type:x mandatory | scroll-snap-type:y mandatory | scroll-snap-type:none","class=""swiper-wrapper"""
swiper-pagination-bullet,分頁 bullet,"transform:scale(.33); position:relative | margin:var(--swiper-pagination-bullet-vertical-gap,6px) 0; display:block | display:inline-block; transition:transform .2s,top .2s | margin:0 var(--swiper-pagination-bullet-horizontal-gap,4px) | transition:transform .2s,left .2s | transition:transform .2s,right .2s","class=""swiper-pagination-bullet"""
swiper-pagination-bullet-active,分頁 bullet,"opacity:var(--swiper-pagination-bullet-opacity,1); background:var(--swiper-pagination-color,var(--swiper-theme-color))","class=""swiper-pagination-bullet-active"""
swiper-pagination-bullet-active-main,分頁 bullet,transform:scale(1),"class=""swiper-pagination-bullet-active-main"""
swiper-pagination-bullet-active-next,分頁 bullet,transform:scale(.66),"class=""swiper-pagination-bullet-active-next"""
swiper-pagination-bullet-active-next-next,分頁 bullet,transform:scale(.33),"class=""swiper-pagination-bullet-active-next-next"""
swiper-pagination-bullet-active-prev,分頁 bullet,transform:scale(.66),"class=""swiper-pagination-bullet-active-prev"""
swiper-pagination-bullet-active-prev-prev,分頁 bullet,transform:scale(.33),"class=""swiper-pagination-bullet-active-prev-prev"""
swiper-pagination-fraction,分頁 fraction,"bottom:var(--swiper-pagination-bottom,8px); top:var(--swiper-pagination-top,auto); left:0; width:100% | color:var(--swiper-pagination-fraction-color,inherit)","class=""swiper-pagination-fraction"""
swiper-pagination-progressbar-fill,分頁 progressbar,"background:var(--swiper-pagination-color,var(--swiper-theme-color)); position:absolute; left:0; top:0; width:100%; height:100%; transform:scale(0); transform-origin:left top | transform-origin:right top","class=""swiper-pagination-progressbar-fill"""
swiper-pagination-progressbar-opposite,分頁 progressbar,"width:100%; height:var(--swiper-pagination-progressbar-size,4px); left:0; top:0","class=""swiper-pagination-progressbar-opposite"""
swiper-pagination-hidden,分頁（其他）,opacity:0,"class=""swiper-pagination-hidden"""
swiper-pagination-lock,分頁（其他）,display:none,"class=""swiper-pagination-lock"""
swiper-button-disabled,導航按鈕,opacity:.35; cursor:auto; pointer-events:none,"class=""swiper-button-disabled"""
swiper-button-hidden,導航按鈕,opacity:0; cursor:auto; pointer-events:none,"class=""swiper-button-hidden"""
swiper-button-lock,導航按鈕,display:none,"class=""swiper-button-lock"""
swiper-button-next,導航按鈕,"right:var(--swiper-navigation-sides-offset,4px); left:auto | right:var(--swiper-navigation-sides-offset,4px); left:auto","class=""swiper-button-next"""
swiper-button-prev,導航按鈕,"top:var(--swiper-navigation-top-offset,50%); margin-top:calc(0px - (var(--swiper-navigation-size) / 2)) | top:var(--swiper-navigation-top-offset,50%); margin-top:calc(0px - (var(--swiper-navigation-size) / 2)); margin-left:0 | left:var(--swiper-navigation-sides-offset,4px); right:auto | left:var(--swiper-navigation-top-offset,50%); right:auto; margin-left:calc(0px - (var(--swiper-navigation-size) / 2)); margin-top:0","class=""swiper-button-prev"""
swiper-lazy-preloader,懶載入,"width:42px; height:42px; position:absolute; left:50%; top:50%; margin-left:-21px; margin-top:-21px; z-index:10; transform-origin:50%; box-sizing:border-box; border-radius:50%; border:4px solid var(--swiper-preloader-color,var(--swiper-theme-color)); border-top:4px solid transparent | animation:swiper-preloader-spin 1s linear infinite","class=""swiper-lazy-preloader"""
swiper-lazy-preloader-black,懶載入,--swiper-preloader-color:#000,"class=""swiper-lazy-preloader-black"""
swiper-lazy-preloader-white,懶載入,--swiper-preloader-color:#fff,"class=""swiper-lazy-preloader-white"""
swiper-horizontal,方向,touch-action:pan-y,"class=""swiper-horizontal"""
swiper-vertical,方向,touch-action:pan-x,"class=""swiper-vertical"""
