class 名稱,分類,樣式（全部值）,使用範例
appearance-none,互動/可見性,appearance:none,"class=""appearance-none"""
break-words,互動/可見性,overflow-wrap:break-word,"class=""break-words"""
collapse,互動/可見性,visibility:collapse,"class=""collapse"""
cursor-default,互動/可見性,cursor:default,"class=""cursor-default"""
cursor-grab,互動/可見性,cursor:grab,"class=""cursor-grab"""
cursor-help,互動/可見性,cursor:help,"class=""cursor-help"""
cursor-not-allowed,互動/可見性,cursor:not-allowed,"class=""cursor-not-allowed"""
cursor-pointer,互動/可見性,cursor:pointer,"class=""cursor-pointer"""
overflow-auto,互動/可見性,overflow:auto,"class=""overflow-auto"""
overflow-clip,互動/可見性,overflow:clip,"class=""overflow-clip"""
overflow-visible,互動/可見性,overflow:visible,"class=""overflow-visible"""
overflow-x-auto,互動/可見性,overflow-x:auto,"class=""overflow-x-auto"""
overflow-y-auto,互動/可見性,overflow-y:auto,"class=""overflow-y-auto"""
overflow-y-scroll,互動/可見性,overflow-y:scroll,"class=""overflow-y-scroll"""
pointer-events-auto,互動/可見性,pointer-events:auto,"class=""pointer-events-auto"""
pointer-events-none,互動/可見性,pointer-events:none,"class=""pointer-events-none"""
visible,互動/可見性,visibility:visible,"class=""visible"""
aspect-poster,其他,aspect-ratio:var(--aspect-poster),"class=""aspect-poster"""
aspect-square,其他,aspect-ratio:1,"class=""aspect-square"""
aspect-video,其他,aspect-ratio:var(--aspect-video),"class=""aspect-video"""
break-all,其他,word-break:break-all,"class=""break-all"""
break-keep,其他,word-break:keep-all,"class=""break-keep"""
hyphens-auto,其他,-webkit-hyphens:auto; hyphens:auto,"class=""hyphens-auto"""
isolate,其他,isolation:isolate,"class=""isolate"""
italic,其他,font-style:italic,"class=""italic"""
items-baseline,其他,align-items:baseline,"class=""items-baseline"""
items-center,其他,align-items:center,"class=""items-center"""
items-stretch,其他,align-items:stretch,"class=""items-stretch"""
justify-between,其他,justify-content:space-between,"class=""justify-between"""
justify-center,其他,justify-content:center,"class=""justify-center"""
justify-self-center,其他,justify-self:center,"class=""justify-self-center"""
line-clamp-1,其他,-webkit-line-clamp:1,"class=""line-clamp-1"""
line-clamp-3,其他,-webkit-line-clamp:3,"class=""line-clamp-3"""
mix-blend-multiply,其他,mix-blend-mode:multiply,"class=""mix-blend-multiply"""
not-italic,其他,font-style:normal,"class=""not-italic"""
order-1,其他,order:1,"class=""order-1"""
order-2,其他,order:2,"class=""order-2"""
order-3,其他,order:3,"class=""order-3"""
order-4,其他,order:4,"class=""order-4"""
order-first,其他,order:-9999,"class=""order-first"""
order-last,其他,order:9999,"class=""order-last"""
prose-invert,其他,--tw-prose-body:var(--tw-prose-invert-body); --tw-prose-headings:var(--tw-prose-invert-headings); --tw-prose-lead:var(--tw-prose-invert-lead); --tw-prose-links:var(--tw-prose-invert-links); --tw-prose-bold:var(--tw-prose-invert-bold); --tw-prose-counters:var(--tw-prose-invert-counters); --tw-prose-b,"class=""prose-invert"""
resize,其他,resize:both,"class=""resize"""
select-none,其他,-webkit-user-select:none; user-select:none,"class=""select-none"""
self-center,其他,align-self:center,"class=""self-center"""
self-stretch,其他,align-self:stretch,"class=""self-stretch"""
tabular-nums,其他,"--tw-numeric-spacing:tabular-nums; font-variant-numeric:var(--tw-ordinal,)var(--tw-slashed-zero,)var(--tw-numeric-figure,)var(--tw-numeric-spacing,)var(--tw-numeric-fraction,)","class=""tabular-nums"""
touch-manipulation,其他,touch-action:manipulation,"class=""touch-manipulation"""
touch-none,其他,touch-action:none,"class=""touch-none"""
touch-pan-y,其他,"--tw-pan-y:pan-y; touch-action:var(--tw-pan-x,)var(--tw-pan-y,)var(--tw-pinch-zoom,)","class=""touch-pan-y"""
tracking-normal,其他,--tw-tracking:var(--tracking-normal); letter-spacing:var(--tracking-normal),"class=""tracking-normal"""
tracking-tight,其他,--tw-tracking:var(--tracking-tight); letter-spacing:var(--tracking-tight),"class=""tracking-tight"""
tracking-tighter,其他,--tw-tracking:var(--tracking-tighter); letter-spacing:var(--tracking-tighter),"class=""tracking-tighter"""
tracking-wide,其他,--tw-tracking:var(--tracking-wide); letter-spacing:var(--tracking-wide),"class=""tracking-wide"""
tracking-wider,其他,--tw-tracking:var(--tracking-wider); letter-spacing:var(--tracking-wider),"class=""tracking-wider"""
tracking-widest,其他,--tw-tracking:var(--tracking-widest); letter-spacing:var(--tracking-widest),"class=""tracking-widest"""
wedding-invitation,其他,--wedding-burgundy:#5c1930; --wedding-rose:#b76e79; --wedding-gold:#c9a962; --wedding-cream:#faf7f2; --wedding-blush:#f5e6e8; --wedding-deep:#2d0f1a,"class=""wedding-invitation"""
wedding-invitation-light,其他,--wedding-burgundy:#8b2942; --wedding-rose:#d4919a; --wedding-gold:#b8944d; --wedding-cream:#fffbf7; --wedding-blush:#fdf0f2; --wedding-deep:#4a1a2a,"class=""wedding-invitation-light"""
whitespace-nowrap,其他,white-space:nowrap,"class=""whitespace-nowrap"""
whitespace-pre,其他,white-space:pre,"class=""whitespace-pre"""
whitespace-pre-line,其他,white-space:pre-line,"class=""whitespace-pre-line"""
whitespace-pre-wrap,其他,white-space:pre-wrap,"class=""whitespace-pre-wrap"""
list-disc,列表,list-style-type:disc,"class=""list-disc"""
list-none,列表,list-style-type:none,"class=""list-none"""
animate-in,動畫/過渡,"animation:enter var(--tw-animation-duration,var(--tw-duration,.15s))var(--tw-ease,ease)var(--tw-animation-delay,0s)var(--tw-animation-iteration-count,1)var(--tw-animation-direction,normal)var(--tw-animation-fill-mode,none)","class=""animate-in"""
animate-pulse,動畫/過渡,animation:var(--animate-pulse),"class=""animate-pulse"""
animate-skeleton-pulse,動畫/過渡,"animation:skeleton-pulse 2s cubic-bezier(.4,0,.6,1) infinite","class=""animate-skeleton-pulse"""
animate-spin,動畫/過渡,animation:var(--animate-spin),"class=""animate-spin"""
duration-100,動畫/過渡,--tw-duration:.1s; transition-duration:.1s,"class=""duration-100"""
duration-150,動畫/過渡,--tw-duration:.15s; transition-duration:.15s,"class=""duration-150"""
duration-200,動畫/過渡,--tw-duration:.2s; transition-duration:.2s,"class=""duration-200"""
